elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,34.27,0,yellow
150,00:00:00.150,28.22,0,yellow
300,00:00:00.300,23.38,0,yellow
450,00:00:00.450,23.39,0,yellow
600,00:00:00.600,26.38,0,yellow
750,00:00:00.750,28.26,0,yellow
900,00:00:00.900,27.13,0,yellow
1050,00:00:01.050,27.9,0,yellow
1200,00:00:01.200,26.23,0,yellow
1350,00:00:01.350,24.11,0,yellow
1500,00:00:01.500,21.34,0,yellow
1650,00:00:01.650,19.74,0,green
1800,00:00:01.800,19.73,0,green
1950,00:00:01.950,20.78,0,yellow
2100,00:00:02.100,20.82,0,yellow
2250,00:00:02.250,19.6,0,green
2400,00:00:02.400,17.83,0,green
2550,00:00:02.550,17.51,0,green
2700,00:00:02.700,18.24,0,green
2850,00:00:02.850,19.02,0,green
3000,00:00:03.000,19.15,0,green
3150,00:00:03.150,18.21,0,green
3300,00:00:03.300,16.82,0,green
3450,00:00:03.450,16.98,0,green
3600,00:00:03.600,17.82,0,green
3750,00:00:03.750,16.6,0,green
3900,00:00:03.900,17.42,0,green
4050,00:00:04.050,18.9,0,green
4200,00:00:04.200,19.74,0,green
4350,00:00:04.350,19.02,0,green
4500,00:00:04.500,16.83,0,green
4650,00:00:04.650,14.51,0,green
4800,00:00:04.800,11.75,0,green
4950,00:00:04.950,9.63,0,green
5100,00:00:05.100,9.36,0,green
5250,00:00:05.250,9.9,0,green
5400,00:00:05.400,10.82,0,green
5550,00:00:05.550,11.71,0,green
5700,00:00:05.700,12.19,0,green
5850,00:00:05.850,12.72,0,green
6000,00:00:06.000,12.84,0,green
6150,00:00:06.150,12.91,0,green
6300,00:00:06.300,11.91,0,green
6450,00:00:06.450,12.04,0,green
6600,00:00:06.600,13.15,0,green
6750,00:00:06.750,14.07,0,green
6900,00:00:06.900,14.19,0,green
7050,00:00:07.050,15.11,0,green
7200,00:00:07.200,15.96,0,green
7350,00:00:07.350,15.67,0,green
7500,00:00:07.500,15.83,0,green
7650,00:00:07.650,16.03,0,green
7800,00:00:07.800,16.32,0,green
7950,00:00:07.950,16.22,0,green
8100,00:00:08.100,16.19,0,green
8250,00:00:08.250,16.05,0,green
8400,00:00:08.400,15.55,0,green
8550,00:00:08.550,15.0,0,green
8700,00:00:08.700,14.91,0,green
8850,00:00:08.850,13.24,0,green
9000,00:00:09.000,11.25,0,green
9150,00:00:09.150,10.12,0,green
9300,00:00:09.300,10.64,0,green
9450,00:00:09.450,19.58,0,green
9600,00:00:09.600,27.78,0,yellow
9750,00:00:09.750,28.16,0,yellow
9900,00:00:09.900,18.69,0,green
10050,00:00:10.050,11.44,0,green
10200,00:00:10.200,13.34,0,green
10350,00:00:10.350,15.76,0,green
10500,00:00:10.500,10.31,0,green
10650,00:00:10.650,4.49,0,green
10800,00:00:10.800,10.78,0,green
10950,00:00:10.950,13.79,0,green
11100,00:00:11.100,11.25,0,green
11250,00:00:11.250,25.23,0,yellow
11400,00:00:11.400,30.43,0,yellow
11550,00:00:11.550,32.24,0,yellow
11700,00:00:11.700,26.38,0,yellow
11850,00:00:11.850,14.23,0,green
12000,00:00:12.000,13.4,0,green
12150,00:00:12.150,8.78,0,green
12300,00:00:12.300,2.59,0,green
12450,00:00:12.450,4.95,0,green
12600,00:00:12.600,7.91,0,green
12750,00:00:12.750,12.32,0,green
12900,00:00:12.900,15.08,0,green
13050,00:00:13.050,12.4,0,green
13200,00:00:13.200,12.38,0,green
13350,00:00:13.350,12.98,0,green
13500,00:00:13.500,11.84,0,green
13650,00:00:13.650,6.69,0,green
13800,00:00:13.800,8.98,0,green
13950,00:00:13.950,5.35,0,green
14100,00:00:14.100,14.17,0,green
14250,00:00:14.250,14.2,0,green
14400,00:00:14.400,12.5,0,green
14550,00:00:14.550,13.68,0,green
14700,00:00:14.700,14.24,0,green
14850,00:00:14.850,13.96,0,green
15000,00:00:15.000,20.83,0,yellow
15150,00:00:15.150,25.07,0,yellow
15300,00:00:15.300,22.11,0,yellow
15450,00:00:15.450,17.11,0,green
15600,00:00:15.600,16.82,0,green
15750,00:00:15.750,22.37,0,yellow
15900,00:00:15.900,22.11,0,yellow
16050,00:00:16.050,21.36,0,yellow
16200,00:00:16.200,19.61,0,green
16350,00:00:16.350,16.23,0,green
16500,00:00:16.500,13.07,0,green
16650,00:00:16.650,12.02,0,green
16800,00:00:16.800,12.65,0,green
16950,00:00:16.950,7.84,0,green
17100,00:00:17.100,7.15,0,green
17250,00:00:17.250,16.95,0,green
17400,00:00:17.400,25.86,0,yellow
17550,00:00:17.550,28.41,0,yellow
17700,00:00:17.700,21.04,0,yellow
17850,00:00:17.850,17.88,0,green
18000,00:00:18.000,18.03,0,green
18150,00:00:18.150,16.47,0,green
18300,00:00:18.300,10.73,0,green
18450,00:00:18.450,3.71,0,green
18600,00:00:18.600,1.12,0,green
18750,00:00:18.750,9.91,0,green
18900,00:00:18.900,12.13,0,green
19050,00:00:19.050,13.48,0,green
19200,00:00:19.200,16.02,0,green
19350,00:00:19.350,17.39,0,green
19500,00:00:19.500,13.28,0,green
19650,00:00:19.650,10.34,0,green
19800,00:00:19.800,16.51,0,green
19950,00:00:19.950,21.42,0,yellow
20100,00:00:20.100,17.65,0,green
20250,00:00:20.250,16.11,0,green
20400,00:00:20.400,18.01,0,green
