elapsed_ms,timestamp,angle,feedback,zone
0,00:00:00.000,76.56,0,red
150,00:00:00.150,61.2,0,red
300,00:00:00.300,44.52,0,yellow
450,00:00:00.450,26.18,0,green
600,00:00:00.600,18.14,0,green
750,00:00:00.750,18.71,0,green
900,00:00:00.900,20.03,0,green
1050,00:00:01.050,18.98,0,green
1200,00:00:01.200,18.02,0,green
1350,00:00:01.350,18.06,0,green
1500,00:00:01.500,17.73,0,green
1650,00:00:01.650,17.98,0,green
1800,00:00:01.800,18.34,0,green
1950,00:00:01.950,18.51,0,green
2100,00:00:02.100,18.61,0,green
2250,00:00:02.250,18.55,0,green
2400,00:00:02.400,19.61,0,green
2550,00:00:02.550,28.46,0,green
2700,00:00:02.700,27.92,0,green
2850,00:00:02.850,25.57,0,green
3000,00:00:03.000,23.99,0,green
3150,00:00:03.150,23.5,0,green
3300,00:00:03.300,22.8,0,green
3450,00:00:03.450,22.59,0,green
3600,00:00:03.600,22.24,0,green
3750,00:00:03.750,22.39,0,green
3900,00:00:03.900,22.57,0,green
4050,00:00:04.050,23.1,0,green
4200,00:00:04.200,23.74,0,green
4350,00:00:04.350,23.45,0,green
4500,00:00:04.500,23.0,0,green
4650,00:00:04.650,23.17,0,green
4800,00:00:04.800,23.05,0,green
4950,00:00:04.950,22.94,0,green
5100,00:00:05.100,23.51,0,green
5250,00:00:05.250,23.67,0,green
5400,00:00:05.400,17.22,0,green
5550,00:00:05.550,16.5,0,green
5700,00:00:05.700,16.12,0,green
5850,00:00:05.850,15.37,0,green
6000,00:00:06.000,16.53,0,green
6150,00:00:06.150,19.75,0,green
6300,00:00:06.300,24.71,0,green
6450,00:00:06.450,25.78,0,green
6600,00:00:06.600,18.95,0,green
6750,00:00:06.750,18.07,0,green
6900,00:00:06.900,17.04,0,green
7050,00:00:07.050,19.46,0,green
7200,00:00:07.200,18.23,0,green
7350,00:00:07.350,26.18,0,green
7500,00:00:07.500,26.86,0,green
7650,00:00:07.650,21.19,0,green
7800,00:00:07.800,26.84,0,green
7950,00:00:07.950,26.22,0,green
8100,00:00:08.100,20.09,0,green
8250,00:00:08.250,12.31,0,green
8400,00:00:08.400,5.46,0,green
8550,00:00:08.550,11.91,0,green
8700,00:00:08.700,22.42,0,green
8850,00:00:08.850,9.98,0,green
9000,00:00:09.000,19.64,0,green
9150,00:00:09.150,27.26,0,green
9300,00:00:09.300,31.16,0,yellow
9450,00:00:09.450,28.71,0,green
9600,00:00:09.600,22.16,0,green
9750,00:00:09.750,16.91,0,green
9900,00:00:09.900,14.37,0,green
10050,00:00:10.050,13.04,0,green
10200,00:00:10.200,13.51,0,green
10350,00:00:10.350,18.54,0,green
10500,00:00:10.500,23.97,0,green
10650,00:00:10.650,24.66,0,green
10800,00:00:10.800,22.83,0,green
10950,00:00:10.950,16.96,0,green
11100,00:00:11.100,11.19,0,green
11250,00:00:11.250,11.55,0,green
11400,00:00:11.400,13.0,0,green
11550,00:00:11.550,12.41,0,green
11700,00:00:11.700,14.45,0,green
11850,00:00:11.850,24.87,0,green
12000,00:00:12.000,39.68,0,yellow
12150,00:00:12.150,59.82,0,yellow
12300,00:00:12.300,71.8,0,red
12450,00:00:12.450,73.41,0,red
12600,00:00:12.600,73.1,0,red
12750,00:00:12.750,72.76,0,red
12900,00:00:12.900,73.5,0,red
13050,00:00:13.050,71.85,0,red
13200,00:00:13.200,70.96,0,red
13350,00:00:13.350,70.64,0,red
13500,00:00:13.500,70.22,0,red
13650,00:00:13.650,68.73,0,red
13800,00:00:13.800,63.47,0,red
13950,00:00:13.950,44.67,0,yellow
14100,00:00:14.100,22.24,0,green
14250,00:00:14.250,13.31,0,green
14400,00:00:14.400,11.27,0,green
14550,00:00:14.550,14.86,0,green
14700,00:00:14.700,20.66,0,green
14850,00:00:14.850,23.15,0,green
